id;name
1;Москва
2;Санкт-Петербург
3;Новосибирск
4;Екатеринбург
5;Казань
6;Нижний Новгород
7;Красноярск
8;Челябинск
9;Самара
10;Уфа
11;Ростов-на-Дону
12;Краснодар
13;Омск
14;Воронеж
15;Пермь
16;Волгоград
17;Саратов
18;Тюмень
19;Тольятти
20;Барнаул
21;Махачкала
22;Ижевск
23;Хабаровск
24;Ульяновск
25;Иркутск
26;Владивосток
27;Ярославль
28;Севастополь
29;Томск
30;Ставрополь
31;Кемерово
32;Набережные Челны
33;Оренбург
34;Новокузнецк
35;Балашиха
36;Рязань
37;Чебоксары
38;Пенза
39;Липецк
40;Калининград
41;Киров
42;Астрахань
43;Тула
44;Сочи
45;Улан-Удэ
46;Курск
47;Тверь
48;Магнитогорск
49;Сургут
50;Брянск
51;Якутск
52;Иваново
53;Владимир
54;Симферополь
55;Нижний Тагил
56;Калуга
57;Белгород
58;Чита
59;Грозный
60;Волжский
61;Смоленск
62;Подольск
63;Саранск
64;Вологда
65;Курган
66;Череповец
67;Архангельск
68;Орёл
69;Владикавказ
70;Нижневартовск
71;Йошкар-Ола
72;Стерлитамак
73;Мурманск
74;Мытищи
75;Кострома
76;Новороссийск
77;Тамбов
78;Химки
79;Нальчик
80;Таганрог
81;Нижнекамск
82;Благовещенск
83;Комсомольск-на-Амуре
84;Петрозаводск
85;Люберцы
86;Королёв
87;Энгельс
88;Великий Новгород
89;Шахты
90;Братск
91;Сыктывкар
92;Ангарск
93;Старый Оскол
94;Дзержинск
95;Псков
96;Красногорск
97;Орск
98;Одинцово
99;Абакан
100;Армавир
101;Балаково
102;Бийск
103;Южно-Сахалинск
104;Уссурийск
105;Прокопьевск
106;Норильск
107;Рыбинск
108;Волгодонск
109;Альметьевск
110;Сызрань
111;Петропавловск-Камчатский
112;Каменск-Уральский
113;Новочеркасск
114;Златоуст
115;Хасавюрт
116;Северодвинск
117;Домодедово
118;Керчь
119;Миасс
120;Салават
121;Копейск
122;Пятигорск
123;Электросталь
124;Майкоп
125;Находка
126;Березники
127;Щёлково
128;Серпухов
129;Нефтекамск
130;Коломна
131;Ковров
132;Обнинск
133;Кызыл
134;Кисловодск
135;Дербент
136;Каспийск
137;Батайск
138;Нефтеюганск
139;Рубцовск
140;Назрань
141;Ессентуки
142;Новочебоксарск
143;Долгопрудный
144;Новомосковск
145;Октябрьский
146;Невинномысск
147;Раменское
148;Реутов
149;Первоуральск
150;Михайловск
151;Черкесск
152;Пушкино
153;Жуковский
154;Ханты-Мансийск
155;Димитровград
156;Артём
157;Новый Уренгой
158;Евпатория
159;Муром
160;Северск
161;Орехово-Зуево
162;Камышин
163;Мурино
164;Арзамас
165;Видное
166;Бердск
167;Элиста
168;Ногинск
169;Новошахтинск
170;Ноябрьск
